delay,x,y
"(935, 940]","(935, 940]",0
"(940, 945]","(940, 945]",0
"(945, 950]","(945, 950]",0
"(950, 955]","(950, 955]",0
"(955, 960]","(955, 960]",0
"(960, 965]","(960, 965]",0
"(965, 970]","(965, 970]",0
"(970, 975]","(970, 975]",0
"(975, 980]","(975, 980]",0
"(980, 985]","(980, 985]",0
"(985, 990]","(985, 990]",0
"(990, 995]","(990, 995]",0
