epoch,not_delayed_count,delayed_count,delayed_percentage
18961,2298,1670,42.086693548387096
18964,2336,1731,42.56208507499385
18969,2473,1580,38.98346903528251
18971,2447,1583,39.28039702233251
18973,1925,1404,42.17482727545809
18975,2352,1790,43.215837759536456
18980,2385,984,29.207479964381122
18982,2734,1354,33.121330724070454
18993,2480,845,25.413533834586467
18998,2648,1514,36.37674195098511
18999,2593,1581,37.87733588883565
19000,2389,1035,30.227803738317753
19002,2655,1549,36.84586108468126
19003,2810,1409,33.39653946432804
19004,2562,1625,38.810604251253885
19005,2617,1586,37.73495122531525
19006,2650,1571,37.21866856195214
19008,2356,1062,31.07080163838502
19011,2773,1398,33.51714217214097
19012,2708,1422,34.430992736077485
19013,2733,1436,34.44471096186136
19014,2346,1046,30.837264150943394
19015,2540,854,25.16205067766647
19016,2659,1517,36.32662835249042
19017,2581,1536,37.30871994170513
19018,2973,1175,28.326904532304724
19019,2955,1203,28.93217893217893
19020,2785,1377,33.085055261893324
19021,2591,768,22.863947603453408
19022,2106,1291,38.004121283485425
19023,2682,1492,35.745088643986584
19024,2879,1306,31.20669056152927
19025,2935,1269,30.185537583254046
19026,2946,1228,29.420220412074748
19027,2900,1286,30.721452460582892
19028,2682,739,21.601870798012275
19029,2582,838,24.502923976608187
19032,3092,1083,25.940119760479043
19033,2860,1312,31.447746883988493
19035,2605,760,22.58543833580981
19037,2956,1145,27.92001950743721
19038,3035,1165,27.73809523809524
19039,3074,1091,26.194477791116444
19041,2963,1224,29.233341294482923
19043,2636,761,22.402119517221077
19044,3040,1148,27.411652340019106
19046,2853,1300,31.302672766674693
19050,2577,783,23.30357142857143
19081,2820,1349,32.357879587431036
19084,2613,874,25.064525379982793
19085,2542,963,27.475035663338087
19086,2862,1313,31.449101796407184
19088,2849,1306,31.432009626955477
19089,2690,1439,34.851053523855654
19091,2487,932,27.2594325826265
19092,2516,902,26.38970157987127
19093,2888,1288,30.842911877394634
19094,2863,1261,30.577109602327834
19095,2676,1503,35.96554199569275
19096,2693,1448,34.96739917894228
19097,2599,836,24.337700145560408
19098,2515,898,26.311163199531208
19099,2702,693,20.412371134020617
19100,2536,896,26.107226107226104
19101,2797,1332,32.259627028336155
19103,2762,1349,32.81440038919971
19106,2330,875,27.301092043681745
19107,2814,1332,32.127351664254704
19109,2762,1384,33.381572600096476
19111,2792,1381,33.09369757967889
19112,2484,951,27.685589519650655
19113,2399,989,29.191263282172375
19115,2800,1328,32.17054263565892
19119,2358,1029,30.380868024800712
19122,2807,1298,31.61997563946407
19127,2289,1040,31.240612796635624
19131,2610,1480,36.18581907090464
19133,2489,1023,29.12870159453303
19141,2347,1105,32.01042873696408
19144,2642,1503,36.2605548854041
19145,2559,1554,37.78264040846098
19146,2519,1627,39.24264351181862
19147,2127,1286,37.679460884852034
19148,2415,982,28.907859876361496
19149,2343,1021,30.35077288941736
19150,2588,1545,37.3820469392693
19151,2550,1584,38.31640058055152
19152,2476,1643,39.88832240835154
19153,2116,2017,48.80232276796516
19154,1957,1389,41.51225343693963
19155,2065,1274,38.15513626834382
19156,2417,1695,41.22081712062256
19157,2438,1672,40.68126520681265
19158,2524,1598,38.76758854924794
19159,2287,1701,42.65295887662989
19160,2558,1548,37.70092547491476
19161,2331,1254,34.97907949790795
19162,2210,1237,35.88627792283145
19163,2594,1589,37.98709060482907
19164,2812,1403,33.2858837485172
19165,1564,920,37.03703703703704
19166,2794,1437,33.96360198534625
19167,2576,1668,39.30254476908577
19168,2318,1287,35.7004160887656
19169,2199,1334,37.75827908293235
19170,2524,1575,38.424005855086605
19171,2493,1610,39.23958079454058
19172,2245,1857,45.27059970745977
19173,2158,1932,47.237163814180924
19174,2155,1996,48.08479884365213
19175,2146,1352,38.65065751858205
19176,2078,1427,40.7132667617689
19177,2235,1862,45.447888699048086
19178,2432,1688,40.97087378640777
19179,2604,1524,36.91860465116279
19180,2614,1503,36.507165411707554
19181,2355,1844,43.91521790902596
19182,2317,1225,34.58498023715415
19183,2176,1329,37.91726105563481
19184,2446,1652,40.31234748657882
19185,2443,1665,40.530671859785784
19186,2436,1665,40.599853694220926
19187,1194,1106,48.08695652173913
19188,2430,1736,41.67066730676908
19189,2219,1336,37.580872011251756
19190,2169,1309,37.63657274295572
19191,2411,1711,41.50897622513343
19192,2341,1778,43.16581694586065
19193,2383,1725,41.991236611489775
19194,2136,1980,48.10495626822158
19195,1996,2153,51.89202217401784
19196,1832,1645,47.31090020132298
19197,1877,1573,45.594202898550726
19198,2209,1919,46.4874031007752
19199,2183,1922,46.82095006090134
19200,2285,1785,43.85749385749386
19201,2203,1961,47.094140249759846
19202,2194,1986,47.51196172248804
19203,1993,1596,44.46921147952076
19204,2072,1499,41.97703724446934
19205,2393,1778,42.62766722608487
19206,2542,1631,39.084591421040024
19207,2440,1738,41.59885112494016
19208,2418,1754,42.04218600191755
19209,2328,1890,44.807965860597434
19210,1870,1486,44.278903456495826
19211,1818,1507,45.32330827067669
19212,2399,1773,42.49760306807286
19213,2400,1762,42.33541566554541
19214,2343,1861,44.26736441484301
19215,2435,1837,43.000936329588015
19216,2464,1844,42.804085422469825
19217,2152,1511,41.25034125034125
19218,2148,1486,40.891579526692354
19219,2503,1776,41.505024538443564
19220,2575,1813,41.31722880583409
19221,2298,1760,43.37111877772302
19222,2508,1802,41.80974477958237
19223,2457,1858,43.05909617612978
19224,2161,1391,39.16103603603604
19225,2122,1429,40.24218529991552
19226,2284,1828,44.45525291828793
19227,2452,1717,41.184936435596065
19228,2386,1786,42.80920421860019
19229,2339,1860,44.29626101452727
19230,2315,1905,45.14218009478673
19231,1879,1653,46.80067950169875
19232,1897,1536,44.74220798135741
19233,2275,1824,44.498658209319345
19234,2418,1656,40.6480117820324
19235,2246,1879,45.551515151515154
19236,2374,1803,43.16495092171415
19237,2437,1765,42.00380771061399
19238,2213,1360,38.06325216904562
19239,2211,1342,37.77089783281733
19240,2465,1720,41.09916367980884
19241,2447,1763,41.87648456057007
19242,2479,1731,41.11638954869359
19243,2466,1747,41.46688820318063
19244,2231,1976,46.9693368195864
19245,2189,1351,38.163841807909606
19246,2208,1301,37.07609005414648
19247,2266,1787,44.09079694053787
19248,2525,1631,39.244465832531276
19249,2391,1744,42.176541717049574
19250,2346,1757,42.82232512795515
19251,2334,1884,44.66571834992888
19252,2287,1220,34.78756772169946
19253,2065,1405,40.48991354466859
19254,2353,1820,43.613707165109034
19255,2430,1733,41.628633197213546
19256,2429,1746,41.82035928143713
19257,2392,1787,42.761426178511606
19258,2433,1783,42.291271347248575
19259,2247,1229,35.35673187571922
19260,2096,1367,39.474444123592264
19261,2245,1813,44.67718087727945
19262,2521,1625,39.19440424505547
19263,2336,1817,43.751504936190706
19264,2320,1842,44.2575684766939
19265,2364,1827,43.59341445955619
19266,2195,1276,36.76174013252665
19267,2210,1250,36.127167630057805
19268,2434,1730,41.54658981748319
19269,2532,1634,39.22227556409025
19270,2488,1680,40.30710172744721
19271,2516,1630,39.31500241196334
19272,2439,1742,41.6646735230806
19273,1665,1592,48.879336813018114
19274,1929,1344,41.06324472960587
19275,2404,1766,42.35011990407674
19276,2385,1758,42.433019551049966
19277,2525,1618,39.05382573014723
19278,2506,1656,39.788563190773665
19279,2376,1774,42.74698795180723
19280,2567,1596,38.3377372087437
19281,2179,1297,37.31300345224396
19282,2325,1819,43.89478764478765
19283,2450,1692,40.84983099951714
19284,2473,1696,40.68121851763012
19285,2523,1628,39.219465189111055
19286,2289,1856,44.77683956574185
19287,2237,1237,35.60736902705814
19288,2158,1296,37.52171395483497
19289,2433,1732,41.58463385354141
19290,2268,1906,45.66363200766651
19291,2230,1980,47.03087885985748
19292,2399,1822,43.1651267472163
19293,2210,2010,47.6303317535545
19294,2250,1246,35.640732265446225
19295,2142,1256,36.96291936433196
19296,2292,1173,33.85281385281385
