epoch,mean_delay,max_delay
18710,2.0460445880889893,138
18711,1.985585331916809,110
18713,1.1724146604537964,93
18714,1.6363108158111572,142
18715,2.5454282760620117,264
18717,2.401832103729248,389
18718,1.8550878763198853,201
18719,0.8653148412704468,79
18721,1.0945324897766113,316
18722,1.7162925004959106,301
18724,1.6732944250106812,212
18725,1.4637666940689087,143
18726,0.9475559592247009,29
18727,1.4952011108398438,334
18728,11.83458423614502,399
18729,1.138196587562561,53
18730,2.089182138442993,233
18731,2.0765292644500732,51
18732,1.0493050813674927,33
18734,1.0768941640853882,81
18735,1.1031482219696045,194
18736,1.5808100700378418,419
18737,2.087043523788452,208
18738,1.2226448059082031,47
18740,1.2035582065582275,89
18741,1.93763267993927,361
18742,1.9236555099487305,172
18743,1.2521761655807495,89
18744,1.7623991966247559,260
18745,1.6542363166809082,258
18746,1.6993522644042969,291
18747,1.8791396617889404,108
18748,2.0131418704986572,217
18749,2.4581282138824463,499
18750,1.853810429573059,85
18751,2.142042398452759,497
18752,2.42281174659729,111
18753,1.829382300376892,271
18754,2.0666651725769043,188
18755,2.862537145614624,117
18756,1.7512366771697998,265
18757,2.235611915588379,202
18758,3.2132155895233154,214
18759,1.5723260641098022,428
18760,1.9264311790466309,296
18761,1.6640567779541016,105
18762,1.752488136291504,145
18763,1.5191993713378906,362
18764,1.9372259378433228,110
18765,1.9754374027252197,93
18766,1.6736669540405273,262
18767,1.5689876079559326,252
18768,2.563844919204712,204
18769,1.7499990463256836,369
18770,1.8284200429916382,193
18771,1.1563777923583984,111
18772,2.1871495246887207,215
18773,2.8738865852355957,148
18774,2.686089277267456,233
18775,2.2082788944244385,185
18776,1.9287402629852295,230
18777,1.9507278203964233,379
18778,1.7675554752349854,313
18779,1.8656070232391357,99
18780,2.3562679290771484,370
18781,1.3447898626327515,50
18782,2.9051811695098877,133
18783,3.8000433444976807,281
18784,1.192483901977539,51
18785,1.0341506004333496,50
18787,3.5782530307769775,271
18788,2.1226770877838135,98
18789,2.895120620727539,122
18790,2.4634971618652344,61
18791,2.353760242462158,104
18792,3.656655788421631,233
18793,1.5989457368850708,63
18794,2.618842840194702,59
18795,2.7286744117736816,120
18796,3.6450793743133545,63
18797,2.8285062313079834,48
18798,3.478869676589966,43
18799,3.7252657413482666,49
18800,3.779447555541992,88
18801,5.12945556640625,88
18802,6.0134596824646,421
18803,5.759544849395752,498
18804,4.584900856018066,164
18805,4.765833377838135,319
18806,3.5028088092803955,137
18807,4.779421806335449,208
18808,5.811454772949219,371
18809,3.9704010486602783,133
18810,4.6083245277404785,183
18811,2.7585489749908447,350
18812,3.2929584980010986,311
18813,3.0976521968841553,152
18814,3.2736804485321045,195
18815,3.1300270557403564,202
18816,4.363077163696289,433
18817,5.030722618103027,426
18818,3.338705539703369,339
18819,7.172021865844727,288
18820,5.6225738525390625,230
18821,4.932943344116211,226
18822,3.8745837211608887,418
18823,3.4424586296081543,183
18824,4.410290241241455,140
18825,5.36225700378418,400
18826,4.443663597106934,292
18827,6.353296279907227,200
18828,4.775192737579346,212
18829,2.9496853351593018,327
18830,3.7788963317871094,180
18831,3.064173698425293,122
18832,3.361438512802124,162
18833,3.986971616744995,96
18834,3.52469801902771,128
18835,3.0912744998931885,189
18836,2.9658515453338623,291
18837,3.1888344287872314,195
18838,3.229403018951416,126
18839,4.028861045837402,360
18840,6.175025939941406,316
18841,3.5176405906677246,176
18842,2.821533679962158,200
18843,2.48834490776062,93
18844,4.270173072814941,183
18845,3.553575038909912,340
18846,4.005650997161865,390
18847,3.8360040187835693,181
18848,4.841379165649414,183
18849,3.1712701320648193,449
18850,3.9948155879974365,291
18851,3.8134799003601074,282
18852,3.9272263050079346,411
18853,3.8978731632232666,406
18854,3.7921853065490723,183
18855,5.186500072479248,242
18856,4.309145927429199,159
18857,3.4972331523895264,382
18858,3.633786678314209,284
18859,4.083106517791748,217
18860,2.59311842918396,110
18861,3.4214258193969727,188
18862,3.331555128097534,331
18863,2.9236459732055664,461
18864,3.1776232719421387,495
18865,2.7219226360321045,147
18866,2.8531410694122314,491
18867,2.5055370330810547,140
18868,2.635148525238037,119
18869,2.64646053314209,79
18870,2.8766980171203613,433
18871,2.9274332523345947,301
18872,2.1147093772888184,94
18873,3.2436459064483643,357
18874,2.8933603763580322,219
18875,2.9836385250091553,88
18876,2.362501621246338,113
18877,2.9251437187194824,168
18878,2.9404847621917725,434
18880,3.031738519668579,115
18883,2.678990364074707,157
18884,2.835832357406616,224
18885,2.338560104370117,89
18886,2.457012414932251,156
18887,2.8536391258239746,347
18888,2.578270196914673,480
18889,2.5259876251220703,103
18890,2.722306728363037,180
18891,2.078636407852173,254
18892,4.16750431060791,218
18893,2.6542272567749023,402
18894,3.1660473346710205,109
18895,2.2047457695007324,298
18896,2.9052860736846924,165
18899,2.690758228302002,473
18901,2.5588414669036865,295
18902,1.9544825553894043,161
18903,2.326916217803955,100
18904,2.838160514831543,101
18905,2.8470075130462646,499
18906,3.5265748500823975,410
18907,3.4976959228515625,499
18908,3.2926037311553955,181
18909,2.8503198623657227,202
18910,2.6690425872802734,472
18911,2.6588432788848877,228
18912,3.3757777214050293,361
18913,2.5665054321289062,401
18914,3.1084699630737305,334
18915,3.463144540786743,361
18916,2.4418222904205322,499
18917,2.286069869995117,360
18918,2.367527484893799,93
18919,2.945857524871826,357
18920,5.450713634490967,499
18921,3.864468574523926,291
18922,3.0758800506591797,475
18923,2.1460683345794678,296
18924,2.7413954734802246,410
18925,2.709982395172119,190
18926,2.579502582550049,375
18927,2.356391191482544,132
18928,2.4895384311676025,140
18929,2.863339424133301,280
18930,3.0478596687316895,186
18931,2.6033568382263184,382
18932,3.0110421180725098,300
18933,3.2131502628326416,401
18934,2.6878061294555664,499
18935,3.7318687438964844,223
18936,3.3341469764709473,278
18937,4.129532337188721,293
18938,2.757667303085327,141
18939,2.6316041946411133,284
18940,2.344634771347046,430
18941,3.164987802505493,283
18942,3.0084948539733887,307
18943,3.1350972652435303,499
18944,2.7615103721618652,499
18945,2.4685254096984863,298
18946,3.9188647270202637,276
18947,2.4077036380767822,201
18948,3.9363648891448975,263
18949,3.6395161151885986,461
18950,3.37371563911438,190
18951,2.2948267459869385,143
18952,1.836718201637268,229
18953,2.4402990341186523,200
18954,2.4033496379852295,216
18955,3.162874460220337,185
18956,2.4866397380828857,110
18957,2.7185168266296387,301
18958,2.2234742641448975,195
18959,2.950482130050659,422
18960,2.2941248416900635,200
18961,2.8490474224090576,193
18964,2.636502504348755,373
18969,1.99369215965271,310
18971,2.3875019550323486,423
18973,3.5084898471832275,230
18975,3.26155948638916,491
18980,1.9422261714935303,274
18982,2.1672451496124268,420
18993,1.898158311843872,379
18998,2.3593595027923584,392
18999,2.409083843231201,79
19000,2.311173439025879,102
19002,2.8234550952911377,195
19003,1.974135398864746,149
19004,2.5909829139709473,307
19005,2.3581557273864746,360
19006,2.098966598510742,158
19008,2.246695041656494,105
19011,1.7188966274261475,302
19012,2.361093759536743,498
19013,2.115147113800049,251
19014,1.8087471723556519,477
19015,1.8411056995391846,166
19016,2.138080358505249,171
19017,1.981874704360962,103
19018,1.3230178356170654,476
19019,1.6828837394714355,333
19020,2.0918679237365723,196
19021,1.0631462335586548,258
19022,6.786890983581543,404
19023,2.815035343170166,234
19024,1.6757545471191406,184
19025,1.5113635063171387,410
19026,1.568722128868103,144
19027,2.057140827178955,452
19028,1.1897584199905396,181
19029,1.5358693599700928,395
19032,1.3795158863067627,387
19033,1.7379966974258423,371
19035,1.2609703540802002,361
19037,1.3358231782913208,143
19038,1.3423542976379395,192
19039,1.1897954940795898,210
19041,1.5393245220184326,216
19043,1.7805736064910889,336
19044,1.4711633920669556,281
19046,2.4690017700195312,145
19050,1.7402434349060059,379
19081,2.1241934299468994,494
19084,1.7726327180862427,499
19085,1.788711428642273,288
19086,1.8199272155761719,352
19088,1.8253201246261597,119
19089,3.8989880084991455,272
19091,1.9047346115112305,240
19092,1.698245644569397,125
19093,2.0805320739746094,162
19094,2.2346813678741455,344
19095,2.690216064453125,499
19096,2.1101787090301514,165
19097,1.6102303266525269,156
19098,1.9045602083206177,200
19099,1.2791305780410767,360
19100,2.1599042415618896,499
19101,2.2178187370300293,497
19103,2.6733453273773193,499
19106,1.7263672351837158,283
19107,1.9875682592391968,383
19109,2.1979548931121826,398
19111,1.842631459236145,261
19112,1.7831684350967407,104
19113,2.0611732006073,319
19115,1.983937382698059,286
19119,2.0069994926452637,116
19122,1.949123501777649,153
19127,2.266155242919922,180
19131,2.355806350708008,471
19133,1.9813086986541748,399
19141,2.5844578742980957,483
19144,2.37056303024292,233
19145,2.993509531021118,459
19146,2.9962730407714844,198
19147,3.7421741485595703,203
19148,1.9855068922042847,108
19149,2.1131958961486816,168
19150,2.773066520690918,342
19151,2.4000418186187744,249
19152,3.7969608306884766,310
19153,6.7291154861450195,499
19154,4.604892253875732,301
19155,4.402381896972656,499
19156,3.1945979595184326,258
19157,3.1212024688720703,321
19158,2.8670811653137207,233
19159,3.6456916332244873,403
19160,3.1422059535980225,164
19161,3.1871719360351562,212
19162,2.683892011642456,361
19163,2.9874250888824463,284
19164,2.16023325920105,375
19165,2.403978109359741,441
19166,2.9073662757873535,280
19167,2.8820714950561523,498
19168,3.690657138824463,301
19169,3.766101598739624,491
19170,3.0624194145202637,163
19171,2.577028751373291,450
19172,3.911668062210083,451
19173,3.8690013885498047,492
19174,5.308549404144287,281
19175,4.807848930358887,458
19176,4.319904804229736,303
19177,4.661088466644287,499
19178,2.7717125415802,341
19179,2.2571933269500732,170
19180,3.2195403575897217,499
19181,3.612515687942505,96
19182,2.3699350357055664,87
19183,4.60789155960083,499
19184,4.2380290031433105,394
19185,2.8570330142974854,441
19186,2.8805644512176514,222
19187,4.289780139923096,174
19188,3.076073408126831,121
19189,2.9080638885498047,394
19190,3.5777406692504883,285
19191,3.6334218978881836,254
19192,3.5205206871032715,265
19193,2.9339733123779297,211
19194,5.400047302246094,224
19195,5.313231468200684,257
19196,4.795379638671875,420
19197,3.904024839401245,481
19198,3.2927050590515137,191
19199,4.380021572113037,252
19200,3.669349431991577,187
19201,3.5742239952087402,200
19202,5.21821928024292,261
19203,4.577009677886963,320
19204,4.662304401397705,402
19205,3.4815521240234375,216
19206,2.621936798095703,97
19207,2.916605234146118,296
19208,2.828587055206299,454
19209,3.7495782375335693,280
19210,3.863129138946533,262
19211,4.367815017700195,264
19212,3.195321559906006,203
19213,3.0816478729248047,350
19214,2.8197007179260254,242
19215,3.2373838424682617,427
19216,3.297858476638794,218
19217,3.246809244155884,229
19218,4.6932244300842285,499
19219,3.7227299213409424,393
19220,3.4679055213928223,156
19221,2.792672634124756,158
19222,3.464343309402466,253
19223,4.993745803833008,259
19224,4.213159084320068,407
19225,3.851116180419922,473
19226,3.836181402206421,349
19227,2.843756675720215,499
19228,3.1815173625946045,340
19229,3.205451250076294,128
19230,4.087874889373779,490
19231,4.539404392242432,362
19232,5.1178879737854,186
19233,3.346303701400757,101
19234,3.1864352226257324,242
19235,3.830172300338745,371
19236,3.410684823989868,277
19237,3.395611524581909,248
19238,3.039595127105713,347
19239,2.861536741256714,454
19240,2.5697898864746094,95
19241,2.8649866580963135,216
19242,3.195793628692627,110
19243,3.076054334640503,201
19244,4.100339412689209,499
19245,3.6908392906188965,209
19246,3.944467544555664,255
19247,4.141502380371094,466
19248,2.7896151542663574,233
19249,3.4296276569366455,471
19250,3.8448846340179443,142
19251,3.516432285308838,152
19252,2.7244067192077637,320
19253,4.122829914093018,166
19254,4.0497918128967285,420
19255,3.0761895179748535,126
19256,3.4868156909942627,413
19257,3.401124954223633,476
19258,3.6193761825561523,499
19259,2.931142807006836,109
19260,3.477381706237793,216
19261,3.5758068561553955,499
19262,2.463034152984619,380
19263,3.097261905670166,492
19264,2.9481348991394043,300
19265,3.013554573059082,88
19266,2.751469850540161,449
19267,2.8729007244110107,145
19268,3.084108829498291,383
19269,2.743215799331665,441
19270,3.1081016063690186,231
19271,2.665839433670044,242
19272,2.961989402770996,196
19273,3.256899118423462,96
19274,2.968491315841675,113
19275,2.700613260269165,274
19276,2.864422082901001,343
19277,2.3725666999816895,499
19278,2.5134763717651367,187
19279,3.571991443634033,429
19280,2.5700602531433105,222
19281,2.7961597442626953,199
19282,5.018116474151611,213
19283,3.2313661575317383,264
19284,2.725104808807373,348
19285,2.4592483043670654,312
19286,3.4865012168884277,185
19287,2.4113876819610596,468
19288,3.5447709560394287,281
19289,3.137566328048706,224
19290,2.9133899211883545,333
19291,3.2992873191833496,198
19292,2.8190925121307373,87
19293,3.443382501602173,218
19294,2.1218318939208984,117
19295,3.1035237312316895,481
