,delay_cause,delay
54,A mai napon Sülysáp állomástól minden állomáson és megállóhelyen megáll.;Felsővezetéki hiba miatti késés,31.76923076923077
55,A mai napon Sülysáp állomástól minden állomáson és megállóhelyen megáll.;Más vonat által okozott késés,10.125
56,A mai napon Sülysáp állomástól minden állomáson és megállóhelyen megáll.;Vonat műszaki hibája miatti késés,17.464285714285715
57,A mai napon Táborfalva állomásig közlekedik. Az Utasok a 2942 számú vonattal tudnak tovább utazni.;Vonat műszaki hibája miatti késés,26.571428571428573
58,A mai napon Táborfalva állomásig közlekedik.;Vonat műszaki hibája miatti késés,17.6
59,"A személyvonat utolsó  kocsija műszaki ok miatt, Miskolc-Tiszai állomástól lezárva közlekedik. 
",9.0
60,"A személyvonat utolsó  kocsija műszaki ok miatt, Miskolc-Tiszai állomástól lezárva közlekedik. 
;Vonat műszaki hibája miatti késés",15.43939393939394
61,A szállítható kerékpárok mennyisége korlátozott.;Pálya állapota miatti késés,7.0
62,A szállítható kerékpárok mennyisége korlátozott.;Vonat műszaki hibája miatti késés,6.0
63,"A vonat  18-as és 19-es számú 1.osztályú kocsi illetve bisztró kocsi nélkül közlekedik.;>Nyíregyháza állomástól mentesítő vonat közlekedik, mely InterCity kocsikat nem továbbít.;Váltó meghibásodás miatti késés",58.1063829787234
64,A vonat  18-as és 19-es számú 1.osztályú kocsi illetve bisztró kocsi nélkül közlekedik.;Váltó meghibásodás miatti késés,49.4
65,A vonat 1.osztályú kocsi nélkül közlekedik.,12.475
66,A vonat 1.osztályú kocsi nélkül közlekedik.;Társvasúttól átvett késés,14.657894736842104
67,A vonat 10-15 perc késéssel indul Bp. Keleti pályaudvarról.,10.0
68,A vonat 10-15 perc késéssel indul Bp. Keleti pályaudvarról.;Vonat műszaki hibája miatti késés,13.909090909090908
69,A vonat 10-15 perc késéssel indul Szolnok állomásról.,37.0
70,A vonat 10-15 perc késéssel indul Szolnok állomásról.;Vonat műszaki hibája miatti késés,39.6
71,A vonat 18-as és 19-es számú 1.osztályú kocsi illetve bisztró kocsi nélkül közlekedik.;Pálya állapota miatti késés,26.116883116883116
72,A vonat 18-as és 19-es számú 1.osztályú kocsi illetve bisztró kocsi nélkül közlekedik.;Tartózkodási idő túllépése,16.25
73,A vonat 20-as számú InterCity minőségű kocsi nélkül közlekedik.;Biztosítóberendezési hiba miatti késés,7.604166666666667
74,"A vonat 21-es számú kocsi nélkül közlekedik, utazásra nem vehető igénybe.",7.333333333333333
75,"A vonat 21-es számú kocsi nélkül közlekedik, utazásra nem vehető igénybe.;Vonat műszaki hibája miatti késés",15.191780821917808
76,"A vonat 21-es számú kocsija lezárva közlekedik, utazásra nem vehető igénybe.",6.0
77,"A vonat 21-es számú kocsija lezárva közlekedik, utazásra nem vehető igénybe.;Pálya állapota miatti késés",11.680851063829786
78,"A vonat 21-es számú kocsija lezárva közlekedik, utazásra nem vehető igénybe.;Vonat műszaki hibája miatti késés",6.892307692307693
79,A vonat 22-es és 23-as számú kocsik nélkül közlekedik.;>A kocsi számozása a vonat elejétől: 21-20-18-17.;Más vonat által okozott késés,6.0
80,A vonat 22-es és 23-as számú kocsik nélkül közlekedik.;>A kocsi számozása a vonat elejétől: 21-20-18-17.;Pálya állapota miatti késés,7.125
81,A vonat 22-es és 23-as számú kocsik nélkül közlekedik.;Pálya állapota miatti késés,21.823529411764707
82,A vonat 22-es és 23-as számú kocsik nélkül közlekedik.;Vonat műszaki hibája miatti késés,13.4
83,"A vonat 264,265,267-es számú kocsi nélkül közlekedik.;Társvasúttól átvett késés",9.8
84,A vonat 423-as számú kocsi nélkül közlekedik.;Társvasúttól átvett késés,18.828125
85,A vonat 428-as számú kocsi nélkül közlekedik.;Társvasúttól átvett késés,23.282608695652176
86,"A vonat 431, 432-es számú halókocsik nélkül közlekedik;Pálya állapota miatti késés",7.545454545454546
87,"A vonat 431, 432-es számú halókocsik nélkül közlekedik;Vonat műszaki hibája miatti késés",8.639344262295081
88,A vonat 431-es és 432-es számú hálókocsik nélkül közlekedik.;Pálya állapota miatti késés,7.76984126984127
89,A vonat 434-ös számú kocsi nélkül közlekedik.;Vonat műszaki hibája miatti késés,21.89189189189189
90,A vonat 435-ös számú kocsi nélkül közlekedik.;Vonat műszaki hibája miatti késés,18.615384615384617
91,A vonat Abony állomáson is megáll.;Pálya állapota miatti késés,10.921875
92,A vonat Adácson és Nagyúton is megáll.;Vonat műszaki hibája miatti késés,31.27777777777778
93,A vonat Angyalföld állomásig Pázmáneum megállóhely kivételével minden állomáson és megállóhelyen megáll.,25.0
94,A vonat Angyalföld állomásig Pázmáneum megállóhely kivételével minden állomáson és megállóhelyen megáll.;Tartózkodási idő túllépése,11.916666666666666
95,A vonat Angyalföld állomásig közeledik.,37.0
96,A vonat Angyalföld állomásig közeledik.;Tartózkodási idő túllépése,39.542857142857144
97,A vonat Angyalföld állomásig közlekedik. Utasaink a 3211 számú vonattal utazhatnak tovább.;Vonat műszaki hibája miatti késés,17.5
98,A vonat Angyalföld állomáson is megáll.;Tartózkodási idő túllépése,6.0
99,A vonat Angyalföld állomástól közeledik.,28.0
100,A vonat Angyalföld állomástól közeledik.;Tartózkodási idő túllépése,25.258064516129032
101,"A vonat Anna-kút megállóból indul, Szeged vasútállomás Anna-kút között pótlóbuszok közlekednek.",19.666666666666668
102,"A vonat Anna-kút megállóból indul, Szeged vasútállomás Anna-kút között pótlóbuszok közlekednek.;>A vonat nem közlekedik.",6.166666666666667
103,"A vonat Anna-kút megállóból indul, Szeged vasútállomás Anna-kút között pótlóbuszok közlekednek.;Társvasúttól átvett késés",16.363636363636363
104,A vonat Bp. Keleti - Gödöllő között minden állomáson és megállóhelyen megáll.;Csatlakozásra várás miatti késés,11.127659574468085
105,A vonat Bp. Keleti - Gödöllő között minden állomáson és megállóhelyen megáll.;Tartózkodási idő túllépése,6.0
106,A vonat Bp. Keleti pályaudvarról 40-45 perc késéssel indul.,46.0
107,A vonat Bp. Keleti pályaudvarról 40-45 perc késéssel indul.;Vonat műszaki hibája miatti késés,49.09090909090909
108,A vonat Budapest Keleti állomásról 30-40 perc késéssel indul.,34.0
109,A vonat Budapest Keleti állomásról 30-40 perc késéssel indul.;Biztosítóberendezési hiba miatti késés,46.74193548387097
110,"A vonat Budapest-Kelenföld állomásról indul. Utasaink Budapest-Déli és Budapest-Kelenföld között a 4212 számú S42-es személyvonattal utazhatnak, melyről Budapest-Kelenföld állomáson az átszállás biztosított.",10.0
111,"A vonat Budapest-Kelenföld állomásról indul. Utasaink Budapest-Déli és Budapest-Kelenföld között a 4212 számú S42-es személyvonattal utazhatnak, melyről Budapest-Kelenföld állomáson az átszállás biztosított.;Vonat műszaki hibája miatti késés",20.25
112,"A vonat Budapest-Kelenföld állomásról indul. Utasaink Budapest-Keleti és Budapest-Kelenföld között a 814 sz. TENKES InterCity vonattal utazhatnak, melyről az átszállás biztosított.;Vonat műszaki hibája miatti késés",33.0
113,A vonat Cegléd állomásról indul. Utasaink a 2814 számú vonattal utazhatnak Cegléd állomásig.,21.5
114,A vonat Cegléd állomásról indul. Utasaink a 2814 számú vonattal utazhatnak Cegléd állomásig.;Baleset miatti késés,22.594594594594593
115,A vonat Cegléd állomásról indul.;Csatlakozásra várás miatti késés,6.166666666666667
116,A vonat Cegléd állomástól előreláthatólag 10-15 perc késéssel közlekedik tovább.,10.8
117,A vonat Csárdaszállás állomáson is megáll.,7.0
118,A vonat Csárdaszállás állomáson is megáll.;Csatlakozásra várás miatti késés,10.0
119,"A vonat Dombóvár-Budapest-Keleti között nem közlekedik, Utasaink az IC 807 számú vonattal tudnak továbbutazni.;Időjárási ok miatti késés",54.578947368421055
120,"A vonat Dombóvár-Budapest-Keleti között nem közlekedik, Utasaink az IC 807 számú vonattal tudnak továbbutazni.;Pálya állapota miatti késés",41.416666666666664
121,A vonat Eplény állomásig közlekedik.,103.0
122,A vonat Eplény állomásig közlekedik.;Vonat műszaki hibája miatti késés,95.67647058823529
123,A vonat Eplény állomástól közlekedik.,13.0
124,A vonat Eplény állomástól közlekedik.;Vonat műszaki hibája miatti késés,10.666666666666666
125,A vonat Győr és Budapest-Kelenföld között minden állomáson és megállóhelyen megáll.,27.0
126,A vonat Győr és Budapest-Kelenföld között minden állomáson és megállóhelyen megáll.;Társvasúttól átvett késés,35.42857142857143
127,A vonat Gödöllő - Bp. Keleti között minden állomáson és megállóhelyen megáll.;Biztosítóberendezési hiba miatti késés,36.0
128,A vonat Gödöllő - Bp. Keleti között minden állomáson és megállóhelyen megáll.;Pálya állapota miatti késés,22.0
129,A vonat Gödöllő-Állami telepek megállóhelyen is megáll.,13.0
130,A vonat Gödöllő-Állami telepek megállóhelyen is megáll.;Biztosítóberendezési hiba miatti késés,6.9375
131,A vonat Hatvan állomásig nem InterCity minőségű kocsikkal közlekedik. Utasainknak Hatvan állomáson másik szerelvénybe kell átszállniuk.;Pálya állapota miatti késés,14.628205128205128
132,A vonat Hévízgyörk és Galgahévíz megállóhelyeken is megáll.;Pálya állapota miatti késés,13.194444444444445
133,A vonat IC minőségű kocsi nélkül (Ksz:21) közlekedik.;Vonat műszaki hibája miatti késés,7.818181818181818
134,A vonat Kecskemét és Cegléd állomások között nem közlekedik.;Pálya állapota miatti késés,6.222222222222222
135,A vonat Komárom állomásig közlekedik.,15.0
136,A vonat Komárom állomásról indul.;Más vonat által okozott késés,62.1025641025641
137,A vonat Komárom és Győr között minden állomáson és megállóhelyen megáll. ;Csatlakozásra várás miatti késés,92.90625
138,A vonat Komárom és Győr között minden állomáson és megállóhelyen megáll. ;Más vonat által okozott késés,88.48648648648648
139,A vonat Komárom és Győr között minden állomáson és megállóhelyen megáll. ;Vasútüzemen kívülálló ok miatti késés,100.2
140,A vonat Komárom és Győr között minden állomáson és megállóhelyen megáll. ;Vonat műszaki hibája miatti késés,103.28571428571429
141,A vonat Kőbánya felső állomásig közlekedik. ;Biztosítóberendezési hiba miatti késés,14.352941176470589
142,"A vonat Kőbánya felső állomásig közlekedik. Utasaink az 557 sz. AGRIA InterRégió vonattal utazhatnak tovább, mely Kőbánya felső állomáson is megáll. ;Biztosítóberendezési hiba miatti késés",15.0
143,"A vonat Kőbánya felső állomásról indul. Utasaink az 544 sz. AGRIA InterRégió vonattal utazhatnak, mely Kőbánya felső állomáson is megáll. ",14.0
144,"A vonat Kőbánya felső állomásról indul. Utasaink az 544 sz. AGRIA InterRégió vonattal utazhatnak, mely Kőbánya felső állomáson is megáll. ;Vonat műszaki hibája miatti késés",13.25
145,A vonat Kőbánya felső és Rákos állomáson is megáll.;Biztosítóberendezési hiba miatti késés,21.221153846153847
146,A vonat Kőbánya felső és Rákos állomáson is megáll.;Tartózkodási idő túllépése,11.4
147,A vonat Kőbánya-Kispest állomásról indul.,68.65454545454546
148,A vonat Kőbánya-Kispest állomásról indul.;Baleset miatti késés,7.777777777777778
149,A vonat Kőbánya-Kispest állomásról indul.;Más vonat által okozott késés,30.797101449275363
150,A vonat Kőbánya-Kispest állomásról indul.;Pálya állapota miatti késés,11.093023255813954
151,A vonat Kőbánya-Kispest állomásról indul.;Vonat műszaki hibája miatti késés,17.153846153846153
152,A vonat Kőbánya-Kispestről indul.,6.666666666666667
153,A vonat Kőbánya-Kispestről indul.;Csatlakozásra várás miatti késés,6.0
154,"A vonat Miskolc Tiszai állomástól közlekedik. Füzesabony és Miskolc Tiszai között a Tokaj IC vonattal utazhatnak, mely a fenti viszonylaton minden állomáson és megállóhelyen megáll.;Csatlakozásra várás miatti késés",7.545454545454546
155,"A vonat Miskolc Tiszai állomástól közlekedik. Füzesabony és Miskolc Tiszai között a Tokaj IC vonattal utazhatnak, mely a fenti viszonylaton minden állomáson és megállóhelyen megáll.;Pálya állapota miatti késés",10.166666666666666
156,A vonat Monor állomástól minden állomáson és megállóhelyen megáll.,55.833333333333336
157,A vonat Monor állomástól minden állomáson és megállóhelyen megáll.;Más vonat által okozott késés,24.0
158,A vonat Monor állomástól minden állomáson és megállóhelyen megáll.;Pálya állapota miatti késés,18.05
159,A vonat Monor állomástól minden állomáson és megállóhelyen megáll.;Tartózkodási idő túllépése,26.5
160,A vonat Monor állomástól minden állomáson és megállóhelyen megáll.;Vonat műszaki hibája miatti késés,27.153846153846153
161,"A vonat Murony állomásig közlekedik. Utasaink a 370 sz. ZARÁND InterCity vonattal utazhatnak, mely a mai napon Csárdaszállás állomáson is megáll.;Vonat műszaki hibája miatti késés",39.4
162,"A vonat Nagymaros állomáson, Zebegény és Szob alsó  megállóhelyeken megáll.",22.0
163,"A vonat Nagymaros állomáson, Zebegény és Szob alsó  megállóhelyeken megáll.;Biztosítóberendezési hiba miatti késés",22.0
164,"A vonat Orosháza állomásig  lezárva közlekedik, utazásra nem vehető igénybe.",7.0
165,"A vonat Orosháza állomásig  lezárva közlekedik, utazásra nem vehető igénybe.;Pálya állapota miatti késés",8.74074074074074
166,A vonat Pécs és Dombóvár állomások között minden állomáson és megállóhelyen megáll.,45.666666666666664
167,"A vonat Pécs és Dombóvár állomások között minden állomáson és megállóhelyen megáll.;>A vonat megáll Szakály-Hőgyész, Pincehely és Simontornya állomásokon.;Baleset miatti késés",116.11320754716981
168,"A vonat Pécs és Dombóvár állomások között minden állomáson és megállóhelyen megáll.;>A vonat megáll Szakály-Hőgyész, Pincehely és Simontornya állomásokon.;Csatlakozásra várás miatti késés",109.0
169,A vonat Pécs és Dombóvár állomások között minden állomáson és megállóhelyen megáll.;Baleset miatti késés,61.5625
170,A vonat Rákospalota-Újpest állomásról indul.;Felsővezetéki hiba miatti késés,63.0
171,A vonat Rákospalota-Újpest állomástól közlekedik.;Felsővezetéki hiba miatti késés,90.55555555555556
172,A vonat Rákospalota-Újpest és Bp. Nyugati között minden állomáson megáll.,82.0
173,A vonat Rákospalota-Újpest és Bp. Nyugati között minden állomáson megáll.;Felsővezetéki hiba miatti késés,65.04545454545455
174,A vonat Szob - Vác állomások között minden állomáson és megállóhelyen megáll.;>A vonat Vác állomástól S70 vonatként közlekedik. (2425 vonatszámban);Társvasúttól átvett késés,36.0
175,A vonat Szob alsó és Zebegény megállóhelyeken és Nagymaros állomáson is megáll.;Társvasúttól átvett késés,40.64285714285714
176,A vonat Szolnok állomásról indul.,29.666666666666668
177,A vonat Szolnok állomásról indul. ;Csatlakozásra várás miatti késés,6.181818181818182
178,"A vonat Szolnok állomásról indul. Utasaink a 614 sz. NYÍRSÉG InterCity vonattal utazhatnak, mely a mai napon Abony állomáson is megáll. Szolnok állomáson az átszállás biztosított.",7.0
179,"A vonat Szolnok állomásról indul. Utasaink a 614 sz. NYÍRSÉG InterCity vonattal utazhatnak, mely a mai napon Abony állomáson is megáll. Szolnok állomáson az átszállás biztosított.;Vonat műszaki hibája miatti késés",32.38235294117647
180,A vonat Szolnok állomásról indul.;Biztosítóberendezési hiba miatti késés,40.13157894736842
181,"A vonat Szombathely és Budapest-Keleti között 1. osztályú kocsi, illetve kerekesszékkel történő utazásara és kerékpárszállításra alkalmas kocsi nélkül közlekedik. Szombathely állomáson másik szerelvénybe kell átszállni.;>Az Osztrák vasúti sztrájk miatt csak Szentgotthárd állomástól közlekedik.",10.272727272727273
182,"A vonat Szombathely és Budapest-Keleti között 1. osztályú kocsi, illetve kerekesszékkel történő utazásara és kerékpárszállításra alkalmas kocsi nélkül közlekedik. Szombathely állomáson másik szerelvénybe kell átszállni.;>Az Osztrák vasúti sztrájk miatt csak Szentgotthárd állomástól közlekedik.;Társvasúttól átvett késés",7.761904761904762
183,A vonat Székesfehérvár állomáson vár a hatósági helyszínelés végéig.;Baleset miatti késés,76.02962962962962
184,A vonat Sülysáp állomásig minden állomáson és megállóhelyen megáll.,171.95833333333334
185,A vonat Sülysáp állomásig minden állomáson és megállóhelyen megáll.;Biztosítóberendezési hiba miatti késés,79.63829787234043
186,A vonat Sülysáp állomásig minden állomáson és megállóhelyen megáll.;Pálya állapota miatti késés,183.3181818181818
187,A vonat Táborfalva állomásról indul.,41.45
188,A vonat Táborfalva állomásról indul.;Hatósági intézkedés miatti késés,25.685714285714287
189,A vonat Táborfalva állomásról indul.;Vasútüzemen kívülálló ok miatti késés,25.875
190,A vonat Táborfalva állomásról indul.;Vonat műszaki hibája miatti késés,9.733333333333333
191,"A vonat Ukk állomástól nem közlekedik, Utasaink a 9518 számú vonattal utazhatnak tovább.;Vonat műszaki hibája miatti késés",63.2
192,A vonat Vác állomásig S70 vonatként közlekedik (2434);Csatlakozásra várás miatti késés,24.357142857142858
193,A vonat Vác állomásig minden állomáson és megállóhelyen megáll.,7.5
194,A vonat Vác állomásig minden állomáson és megállóhelyen megáll.;Csatlakozásra várás miatti késés,24.23076923076923
195,A vonat Vác állomásról indul.;>A vonat Vác állomásról indul.,134.33333333333334
196,A vonat Vác állomásról indul.;Felsővezetéki hiba miatti késés,135.0909090909091
197,A vonat Vác állomástól S70 vonatként közlekedik. (2425 vonatszámban),36.0
198,A vonat Vác állomástól S70 vonatként közlekedik. (2425 vonatszámban);Társvasúttól átvett késés,36.0
199,A vonat Zalaszentiván állomásig közlekedik. Utasaink a 9813 számú vonattal utazhatnak.;Vonat műszaki hibája miatti késés,43.15686274509804
200,A vonat a 3128 S80-as számú vonat menetrendjében közlekedik. Előreláthatólag 10 perc késéssel fog indulni.;Pálya állapota miatti késés,13.166666666666666
201,"A vonat a 431 és 432 számú, Ukrajnából érkező hálókocsik nélkül közlekedik.",8.0
202,"A vonat a 431 és 432 számú, Ukrajnából érkező hálókocsik nélkül közlekedik.;Más vonat által okozott késés",10.0
203,"A vonat a 431 és 432 számú, Ukrajnából érkező hálókocsik nélkül közlekedik.;Vonat műszaki hibája miatti késés",9.368421052631579
204,"A vonat a mai napon nem közlekedik Budapest-Keleti-Wien között. Helyette 11346 számú vonat közlekedik, a 12346 számú vonat menetrendi idejében. A járat hálókocsit nem továbbít. Utasaink a jelenlegi késést figyelembe véve a RJX 162 számú vonattal utazhatnak tovább.;Társvasúttól átvett késés",49.857142857142854
205,"A vonat a mai napon nem közlekedik Budapest-Keleti-Wien között. Helyette 12348 számú vonat közlekedik, a 12346 számú vonat menetrendi idejében. A járat hálókocsit nem továbbít. Utasaink a jelenlegi késést figyelembe véve az EC 140 számú vonattal utazhatnak tovább.;Társvasúttól átvett késés",135.37078651685394
206,"A vonat a mai napon nem közlekedik Budapest-Keleti-Wien között. Helyette 1346 számú vonat közlekedik, a 12346 számú vonat menetrendi idejében. A járat hálókocsit nem továbbít. Utasaink a jelenlegi késést figyelembe véve a RJX 162 számú vonattal utazhatnak tovább.;Társvasúttól átvett késés",138.0863997113997
207,A vonat a mai napon nem közlekedik.;>A vonat nem közlekedik.,8.75
208,A vonat bisztró szolgáltatás nélkül közlekedik.. ;Pálya állapota miatti késés,7.482758620689655
209,A vonat bisztrószakasz és prémium osztály nélkül közlekedik. ;Felsővezetéki hiba miatti késés,7.428571428571429
210,A vonat bisztrószakasz és prémium osztály nélkül közlekedik. ;Pálya állapota miatti késés,20.96527777777778
211,A vonat bisztrószakasz és prémium osztály nélkül közlekedik. ;Tartózkodási idő túllépése,6.0
212,"A vonat bisztrószakasz, valamint prémium osztály nélkül közlekedik. (19-es számú kocsi).",14.0
213,"A vonat bisztrószakasz, valamint prémium osztály nélkül közlekedik. (19-es számú kocsi).;Csatlakozásra várás miatti késés",9.303030303030303
214,"A vonat bisztrószakasz, valamint prémium osztály nélkül közlekedik. (19-es számú kocsi).;Pálya állapota miatti késés",7.56
215,"A vonat bisztrószakasz, valamint prémium osztály nélkül közlekedik. (19-es számú kocsi).;Tartózkodási idő túllépése",9.666666666666666
216,"A vonat bisztrószakasz, valamint prémium osztály nélkül közlekedik. (19-es számú kocsi).;Vonat műszaki hibája miatti késés",7.333333333333333
217,"A vonat bisztrószakasz, valamint prémium és 1. osztály nélkül közlekedik.  A vonat utolsó kocsija lezárva közlekedik.",7.0
218,"A vonat bisztrószakasz, valamint prémium és 1. osztály nélkül közlekedik.  A vonat utolsó kocsija lezárva közlekedik.;Biztosítóberendezési hiba miatti késés",33.54385964912281
219,A vonat bisztrószolgáltatás nélkül közlekedik.,6.0
220,A vonat bisztrószolgáltatás nélkül közlekedik.;Biztosítóberendezési hiba miatti késés,12.037037037037036
221,A vonat bisztrószolgáltatás nélkül közlekedik.;Csatlakozásra várás miatti késés,9.64
